C1,C2,C3,C4,C5,M,O1,O2,O3,P1,P2,P3,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6,SE1,SE2,SE3,SE4,SE5,day,hora,point,sentido,survey,vh
2,2,0,0,0,2,0,0,0,51,1,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,10,146,C,7,72
4,2,0,0,0,0,0,0,0,80,1,13,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,7,11,146,C,7,104
4,0,0,0,0,2,0,0,0,43,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,10,146,D,7,61
3,1,0,0,0,1,0,0,0,56,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,11,146,D,7,75
1,5,0,0,0,2,2,0,0,56,2,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,12,146,C,7,84
4,0,0,1,0,2,0,0,0,62,1,20,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,13,146,C,7,93
1,3,0,0,0,1,0,0,1,56,1,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,12,146,D,7,95
6,2,0,2,0,3,0,0,0,62,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,146,D,7,94
1,3,0,0,1,2,0,0,0,85,1,10,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,7,14,146,C,7,108
3,0,0,1,0,5,1,0,0,102,0,23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,15,146,C,7,137
3,1,0,0,1,3,0,0,0,27,0,10,0,0,0,0,0,0,1,1,0,0,0,4,1,1,0,0,1,3,8,146,C,7,54
1,2,0,0,0,5,0,0,0,49,0,3,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,3,9,146,C,7,64
1,3,0,0,0,0,0,0,0,44,0,12,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,8,146,D,7,63
0,1,0,0,1,1,1,0,1,59,2,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,9,146,D,7,80
4,0,0,0,0,2,0,0,0,44,1,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,10,146,C,7,72
3,1,0,0,0,4,0,0,0,43,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,11,146,C,7,61
1,3,0,0,0,4,0,0,0,44,0,18,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,3,10,146,D,7,75
1,0,0,2,0,3,0,0,1,27,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,11,146,D,7,40
7,1,0,0,2,1,1,0,0,56,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,146,C,7,84
2,0,0,0,0,2,0,0,0,37,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,13,146,C,7,57
0,0,0,0,4,2,0,0,0,49,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,146,D,7,74
0,1,0,0,1,0,0,0,0,80,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,13,146,D,7,92
0,3,1,1,0,5,3,0,0,9,2,6,0,0,0,0,0,0,0,0,4,1,4,4,1,0,1,0,7,2,6,55,C,7,52
4,1,0,1,0,2,2,1,0,14,4,3,0,0,0,0,0,0,0,2,8,0,0,13,2,0,3,0,3,2,7,55,C,7,63
0,1,0,0,0,12,2,0,0,15,13,10,0,0,0,0,0,0,0,0,3,0,3,10,3,0,11,0,1,2,6,55,D,7,84
1,4,0,2,0,14,1,0,0,11,2,7,0,0,0,0,0,0,0,1,1,0,2,5,1,0,6,0,3,2,7,55,D,7,61
2,2,0,2,0,1,3,0,0,11,0,7,0,0,1,0,3,0,0,2,10,0,2,11,4,0,4,0,3,2,8,55,C,7,68
1,13,0,1,0,2,1,1,0,12,4,6,0,0,0,0,1,0,0,3,3,0,2,7,2,4,2,0,2,2,9,55,C,7,67
3,0,1,1,0,15,0,0,0,18,0,1,0,0,0,0,0,0,0,1,9,0,1,6,1,0,0,1,1,2,8,55,D,7,59
4,2,1,0,0,9,0,0,0,29,1,10,0,0,0,0,0,0,0,0,6,0,3,9,1,0,0,0,0,2,9,55,D,7,75
2,7,0,8,0,4,1,0,0,22,0,6,0,0,0,2,0,0,0,1,2,0,0,14,3,0,3,0,2,2,10,55,C,7,77
1,7,0,4,0,0,0,0,0,16,3,3,0,0,0,0,0,0,0,1,4,0,0,6,3,0,3,0,2,2,11,55,C,7,53
