cod_mun_origem,cod_mun_destino,total_passagens_2019,total_passagens_2020,tempo_medio_2019,tempo_medio_2020
3304557,1721000,12719.0,8853.0,-2,-2
1100205,3304557,12715.0,9973.0,-2,-2
4314902,2408102,12713.0,10590.0,-2,-2
1501402,1504208,12677.0,7713.0,63,67
1302603,2927408,12655.0,9257.0,-2,-2
5103403,2611606,12646.0,17267.0,209,206
1506807,3550308,12624.0,10641.0,-2,-2
3509502,5103403,12614.0,9199.0,128,124
3304557,1100205,12516.0,9977.0,-2,-2
2913606,3304557,12514.0,,-2,
4104808,3509502,12456.0,,99,
2611606,4108304,12394.0,5666.0,-2,-2
3509502,4104808,12239.0,,105,
4108304,2611606,12182.0,5317.0,-2,-2
3304557,2913606,12177.0,,-2,
5300108,1100205,12107.0,9489.0,172,172
1600303,2304400,12059.0,8877.0,-2,-2
4204202,3509502,12053.0,,82,
2611606,4208203,12031.0,10841.0,-2,-2
1501402,4208203,11932.0,9433.0,-2,-2
4115200,3509502,11910.0,5048.0,93,91
4205407,3205309,11855.0,7809.0,-2,-2
2304400,1600303,11852.0,8765.0,-2,-2
2925303,4314902,11838.0,,-2,
1302603,5208707,11719.0,8242.0,-2,-2
2927408,1302603,11708.0,9166.0,-2,-2
4314902,2925303,11668.0,,-2,
3509502,4204202,11658.0,,92,
3205309,4205407,11639.0,7541.0,-2,-2
1100205,5300108,11637.0,9518.0,167,173
3509502,4115200,11591.0,4873.0,99,96
2927408,2611101,11517.0,5314.0,-2,77
2211001,2111300,11469.0,3960.0,48,47
4208203,2611606,11442.0,10132.0,-2,-2
4205407,1302603,11400.0,11209.0,-2,-2
2611101,2927408,11373.0,5280.0,-2,77
3304557,2504009,11282.0,,-2,
2611606,4205407,11202.0,11627.0,-2,-2
3205309,4208203,11189.0,6354.0,-2,-2
5300108,1600303,11164.0,7532.0,162,162
5208707,1302603,11157.0,8176.0,-2,-2
4208203,3205309,11125.0,6362.0,-2,-2
2927408,2903201,11113.0,,117,
3502804,3509502,11108.0,,75,
2304251,3550308,11076.0,,210,
2408102,4106902,11024.0,7529.0,-2,-2
4208807,3509502,11014.0,,84,
2504009,3304557,11003.0,,-2,
4314902,3549805,11001.0,,-2,
1600303,5300108,10991.0,7620.0,165,167
2903201,2927408,10972.0,,117,
5300108,4108304,10918.0,5423.0,126,125
4108304,5300108,10891.0,5336.0,119,123
3549904,3304557,10881.0,,60,
3549805,4314902,10865.0,,-2,
2307304,2611606,10861.0,4655.0,88,69
4113700,5300108,10853.0,,-2,
3509502,4208807,10843.0,,83,
5300108,4113700,10819.0,,-2,
3509502,3502804,10744.0,,84,
2111300,2211001,10687.0,3898.0,50,50
3550308,2304251,10685.0,,200,
2304400,1100205,10651.0,9431.0,-2,-2
1504208,3550308,10647.0,6963.0,-2,-2
4106902,2408102,10595.0,7043.0,-2,-2
4205407,2611606,10580.0,11139.0,-2,-2
3506003,3550308,10558.0,,63,
3550308,1504208,10524.0,6950.0,-2,-2
2408102,3509502,10457.0,5318.0,200,202
2611606,2307304,10437.0,4538.0,94,75
3304557,3549904,10424.0,,73,
2913606,3106200,10423.0,,83,
3543402,3106200,10387.0,,85,
3106200,3543402,10362.0,,88,
1100205,2304400,10356.0,9125.0,-2,-2
2408102,4108304,10207.0,3983.0,-2,-2
5204508,3550308,10203.0,,82,
2111300,4106902,10198.0,8435.0,-2,-2
2800308,3106200,10085.0,8670.0,-2,-2
3550308,5204508,10082.0,,85,
4205407,5002704,10045.0,7619.0,-2,-2
5300108,1400100,10040.0,8925.0,214,214
4108304,2408102,9977.0,3857.0,-2,-2
5002704,4205407,9975.0,7668.0,-2,-2
3106200,2913606,9943.0,,86,
3509502,2408102,9935.0,4743.0,198,198
4106902,2111300,9931.0,8035.0,-2,-2
2605459,3550308,9917.0,9977.0,-2,-2
1400100,3550308,9908.0,7855.0,-2,-2
2304400,4108304,9891.0,4523.0,-2,-2
4209102,3304557,9887.0,,-2,
5103403,3549805,9869.0,,133,
3550308,2605459,9848.0,9317.0,-2,-2
1302603,1304203,9804.0,,75,
3304557,4209102,9788.0,,-2,
1501402,5208707,9764.0,5667.0,-2,170
5208707,1501402,9753.0,5820.0,-2,-2
3549805,5103403,9739.0,,138,
4108304,3509502,9699.0,3371.0,90,86
2304400,5103403,9693.0,9382.0,-2,-2
3106200,2800308,9672.0,8235.0,-2,-2
2704302,2927408,9650.0,4447.0,-2,67
4108304,2304400,9636.0,4277.0,-2,-2
2927408,2704302,9602.0,4413.0,-2,65
4208203,5103403,9548.0,8061.0,-2,-2
2611606,5002704,9539.0,9983.0,-2,-2
2211001,4314902,9524.0,6563.0,-2,-2
5103403,2304400,9491.0,9357.0,-2,-2
3304557,4115200,9421.0,5643.0,-2,-2
4314902,2211001,9415.0,6315.0,-2,-2
5002704,2611606,9412.0,9946.0,-2,-2
3136702,3509502,9380.0,,96,
3509502,2507507,9341.0,6320.0,-2,192
5300108,3549805,9312.0,,-2,
1200401,1302603,9302.0,5004.0,109,110
2507507,3509502,9295.0,6511.0,-2,200
1302603,1200401,9261.0,4876.0,113,114
5103403,4208203,9233.0,7712.0,-2,-2
3550308,1400100,9226.0,8992.0,-2,269
